ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0068,Tournament,22 Tournament Draw,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/22_tournament_draw_compact_360x800.png,1c4aa13eaafbf57a04619cbfa253c0c8dcae654acb62788eb3d7c5e605bc59a0,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0069,Tournament,23 Tournament Bracket,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/23_tournament_bracket_compact_360x800.png,7fc2e3aeb80d321d857575b941a786dae4f040bf7260679c07d80cff40408f76,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0070,Tournament,26 Tournament Match,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/26_tournament_match_compact_360x800.png,fe295bd7b3566d21fbd60e6d0a0265815c07cb43273407b89b54e89d005dbeaf,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0071,Tournament,27 Tournament Champion,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/27_tournament_champion_compact_360x800.png,6852ed967a4af525a09c2d7ece1b86db24c36540d7aa2ab1daf8c7d58dc3784b,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0072,Solo,28 Match Setup,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/28_match_setup_compact_360x800.png,f0380836a5bf856a0548d0925fcfa4494d0bfb7359d8ee31120640d38d0ab0d9,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0073,Solo,29 Solo Setup,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/29_solo_setup_compact_360x800.png,b9339f77be6a3adcb1e2b94138deb65c988f7fe74b93c8e467154b23a303426e,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0074,Team Challenge,33 Team Challenge,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/33_team_challenge_compact_360x800.png,68553a989874c6a77fcf9ee87a6774eab3e0b7dc4f0b4ec36d7b1a770f4f1e6f,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0075,Ranking,34 Ranking,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/34_ranking_compact_360x800.png,803463200bc879f6d1a5a4bc62a4263dc70dc0d17f30d910e8557d2bb59952ba,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0076,Friends,35 Friends,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/35_friends_compact_360x800.png,2408e67152ef00c6361cecb9d79050db3b8169a8cda5ce7b727338e5b709a683,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0077,Blocked Players,36 Blocked Players,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/36_blocked_players_compact_360x800.png,7e11655750f367259ec338d32038bd02af113c39b25eb769564ac8f293c27700,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0078,Team Detail,37 Team Detail,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/37_team_detail_compact_360x800.png,b826bd93217ba9d385673f68adf96d72bba442ee62c74356b3301ed28c08079b,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0079,Profile,38 Profile,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/38_profile_compact_360x800.png,15915ff4cc40f4e60edd4f10aa1b7caef61e0485951b7fd7abc932462ac9b1b8,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0080,Notifications,39 Notifications,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/39_notifications_compact_360x800.png,cd09967f56ebccd364214ac1141b06dfbd92df9fc083fa990a496597699a1f6d,Exact logical-pixel Flutter render; copied losslessly.
