ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0059,Party Setup,11 Ready,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/11_ready_compact_360x800.png,3341712ed0b221a4fda65066642c3ddefe7ffe1e67650c1b68dca7e76c0e020f,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0060,Party Gameplay,12 Game Board,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/12_game_board_compact_360x800.png,4e3ddd7918b7ba4a74c0d9b856c07e3e1f7dffc997305870f4c80d3bc2d674f6,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0061,Party Gameplay,13 Text Question,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/13_text_question_compact_360x800.png,f0dec4b92e332facac2401289c0b01eda95a7d0b4587502f8cf5ba5ef8e0c200,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0062,Party Gameplay,14 Image Question,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/14_image_question_compact_360x800.png,e1759b84a31cd93db7fcff4180683f0f3e6602814d309a4b74a664056e3be911,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0063,Party Gameplay,15 Answer Reveal,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/15_answer_reveal_compact_360x800.png,04c0d23780e1fbf86a254185d10192ce3f70c260ee6dc6763255c7026b83ae55,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0064,Party Gameplay,16 Final Result,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/16_final_result_compact_360x800.png,b90f0ab2dd1099e9b2b8211c7fd517e5c50f0195dbc2c244e347a644710b38f7,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0065,Saved Games & Help,17 How to Play,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/17_how_to_play_compact_360x800.png,899ceb37ae98b41744c88bf08e90fcc77fa44b52e02f9672deb0a75dcf007ce1,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0066,Saved Games & Help,18 Saved Party Games,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/18_saved_games_compact_360x800.png,c862dcde5b4518d0c810c31fd4adaa2c1eede5b1ce3169dcc4118c562892d8d7,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0067,Tournament,19 Tournament Hub,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/19_tournament_hub_compact_360x800.png,ae1cc0103882658efe26fcedefc56839e6ad9864370ff29b28eb5f2de2e26b75,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0068,Tournament,20 Create Tournament,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/20_create_tournament_compact_360x800.png,170a78a7795b2d247fc5ad800b2368d661a99e2ab5defb7cd1e252dc744a8677,Exact logical-pixel Flutter render; copied losslessly.
